,Boys,Girls,Total,Year,
Kindergarten,48,58,106,2018,
Year 1,76,60,136,2018,
Year 2,68,49,117,2018,
Year 3,74,79,153,2018,
Year 4,75,49,124,2018,
Year 5,79,57,136,2018,
Year 6,72,58,130,2018,
Primary Support,4,4,8,2018,
Total Primary,496,414,910,2018,
Year 7,47,42,89,2018,
Year 8,113,100,213,2018,
Year 9,179,181,360,2018,
Year 10,297,337,634,2018,
Year 11,132,173,305,2018,
Year 12,87,134.3,221.3,2018,
Secondary Support,24,13,37,2018,
Total Secondary,879,980.3,1859.3,2018,
Total all students,1375,1394.3,2769.3,2018,
Kindergarten,58,30,88,2019,
Year 1,73,65,138,2019,
Year 2,64,55,119,2019,
Year 3,78,46,124,2019,
Year 4,70,72,142,2019,
Year 5,86,51,137,2019,
Year 6,66,68,134,2019,
Primary Support,3,4,7,2019,
Total Primary,498,391,889,2019,
Year 7,49,47,96,2019,
Year 8,96,98,194,2019,
Year 9,206,206,412,2019,
Year 10,299,346,645,2019,
Year 11,142.5,183.4,325.9,2019,
Year 12,83.2,114.3,197.5,2019,
Secondary Support,25,15,40,2019,
Total Secondary,900.7,1009.7,1910.4,2019,
Total all students,1398.7,1400.7,2799.4,2019,
Kindergarten,45,47,92,2020,
Year 1,58,35,93,2020,
Year 2,56,51,107,2020,
Year 3,60,45,105,2020,
Year 4,62,44,106,2020,
Year 5,66,65,131,2020,
Year 6,75,43,118,2020,
Primary Support,4,1,5,2020,
Total Primary,426,331,757,2020,
Year 7,54,50,104,2020,
Year 8,98,91,189,2020,
Year 9,205,188,393,2020,
Year 10,279,295,574,2020,
Year 11,124.4,153.3,277.7,2020,
Year 12,88.7,109.3,198,2020,
Secondary Support,21,19,40,2020,
Total Secondary,870.1,905.6,1775.7,2020,
Total all students,1296.1,1236.6,2532.7,2020,
Kindergarten,44,49,93,2021,
Year 1,69,54,123,2021,
Year 2,72,54,126,2021,
Year 3,59,70,129,2021,
Year 4,63,65,128,2021,
Year 5,67,49,116,2021,
Year 6,63,56,119,2021,
Primary Support,3,2,5,2021,
Total Primary,440,399,839,2021,
Year 7,44,31,75,2021,
Year 8,114,94,208,2021,
Year 9,171,211,382,2021,
Year 10,250,317,567,2021,
Year 11,122.7,173.3,296,2021,
Year 12,79.1,95.7,174.8,2021,
Secondary Support,26,18,44,2021,
Total Secondary,806.8,940,1746.8,2021,
Total all students,1246.8,1339,2585.8,2021,
